gene_id,EE_50-0,EE_50-30,EE_50-60,EE_50-90,EE_50-120,EE_50-150,EE_50-180,EE_50-210,EE_50-240,EE_50-300,EE_50-330,EE_50-360,EE_50-390,EE_50-420,EE_50-450,EE_50-480,EE_50-510,EE_50-540,EE_50-570,EE_50-600,EE_50-630,EE_50-660,EE_50-690,EE_50-720,L1,LIN35,L2,L3,L4,L4MALE,YA,AdultSPE9,DauerEntryDAF2,DauerDAF2,DauerExitDAF2
F56F4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0468385,0.132153,0.23415999999999998,0.0,0.0,0.0,0.0,0.0
T09B4.8,22.6621,41.2949,50.4805,74.0648,62.4074,443.418,160.164,192.592,138.267,153.168,112.337,201.929,162.739,135.599,114.682,83.7266,61.3428,53.8374,39.9394,34.9409,28.9494,30.3303,36.9658,33.9542,133.678,119.779,78.2283,134.157,56.8493,58.6088,54.6168,8.68348,6.629389999999999,2.22015,19.6639
T09B4.4,1.7512400000000001,5.35219,2.00978,11.0503,5.4424,162.806,96.6244,206.68,83.2024,108.191,124.052,42.6535,124.148,164.77900000000002,176.77,234.359,276.894,185.43900000000002,201.123,141.116,120.0,135.034,102.885,108.41,9.59685,21.2834,28.3828,24.9061,16.7574,14.0876,15.7707,3.3029900000000003,27.6685,30.9808,20.1098
T09B4.9,5.412640000000001,10.8603,6.52919,10.8141,12.9334,28.5726,3.4933300000000003,7.075060000000001,1.8424099999999999,22.5127,18.1355,13.3541,19.9354,17.6587,22.8775,21.070999999999998,19.6189,22.8087,21.4279,14.8126,19.0883,23.0772,13.389000000000001,26.9267,23.5854,25.9669,42.4996,43.9044,29.7748,25.6545,63.7353,20.1082,22.5047,19.6775,20.7122
T09B4.10,123.446,158.247,82.069,103.331,95.9317,361.765,127.415,274.947,58.3785,67.9947,46.8163,63.6675,72.2175,64.7591,62.4731,67.7547,54.5843,62.6045,58.3414,46.4854,42.8597,40.7089,44.6668,49.3385,26.9024,61.1281,28.677,21.9922,25.8134,38.0383,71.1128,61.4565,49.9946,40.937,36.9131
T09B4.1,255.574,265.535,159.969,178.13,161.545,13.8619,7.226710000000001,8.9572,6.59501,17.9016,16.9282,47.7259,24.8944,23.9029,22.0463,16.8088,14.3017,28.5044,24.744,29.4247,23.5205,26.245,27.1277,29.9084,9.42602,10.168,9.998460000000001,15.189,22.7371,15.6804,85.0126,120.26100000000001,9.951039999999999,10.839,8.09361
T05E7.3,11.4132,15.6804,15.0129,12.599,16.8778,13.9677,2.6314599999999997,4.35329,0.746835,16.9548,16.041,21.0314,19.7182,17.3783,18.8943,14.2961,8.99267,10.0651,10.238,9.261569999999999,8.84457,8.85866,8.09382,9.35927,8.631310000000001,12.7373,11.1857,10.7952,8.18103,7.31618,29.3069,23.3421,13.7101,20.8784,13.7305
T08B2.7,200.875,260.961,234.93,236.14700000000002,238.995,57.6884,83.4205,82.8615,46.26,187.572,182.18599999999998,270.315,209.428,193.429,154.42,121.637,86.2259,95.3535,79.6959,79.65100000000001,69.9155,64.3102,66.348,64.3836,145.30100000000002,85.3048,139.627,127.09299999999999,88.8153,114.27799999999999,134.971,138.576,140.888,78.2649,96.6957
T08B2.8,44.3132,37.6761,39.6046,41.8965,48.3604,563.4540000000001,228.558,341.046,174.873,134.128,85.4261,64.1864,137.72799999999998,114.584,95.4073,98.2024,95.9812,75.9035,57.3857,43.8038,37.2481,41.0859,39.1517,40.3747,43.7906,120.921,64.2359,55.4285,82.2646,74.2264,84.3175,51.8776,72.3442,65.1647,87.219
T08B2.9,73.4843,60.9102,43.53,46.8036,43.0947,33.4401,25.7235,26.7122,28.4352,53.5076,54.6711,69.892,59.9759,60.7735,54.3825,46.6559,44.1236,48.0511,45.7336,40.0309,34.402,36.8003,44.4569,33.4536,64.1801,42.6543,72.0075,85.2191,75.8283,44.0609,109.323,73.5982,41.2674,32.3178,72.5685
