gene_id,Embryo0-2h,Embryo2-4h,Embryo4-6h,Embryo6-8h,Embryo8-10h,Embryo10-12h,Embryo12-14h,Embryo14-16h,Embryo16-18h,Embryo18-20h,Embryo20-22h,Embryo22-24h,L1,L2,L3+12h,L3PS1-2,L3PS3-6,L3PS7-9,Prepupae,Prepupae+12h,Prepupae+24h,Prepupae+2d,Prepupae+3d,Prepupae+4d,Male+1d,Male+5d,Male+30d,Female+1d,Female+5d,Female+30d
FBgn0041100,10.36,2.69905,4.04217,4.575880000000001,4.37576,3.6667199999999998,3.02359,3.4026699999999996,4.17059,4.31674,3.8270199999999996,4.54986,8.26476,6.91638,7.100639999999999,6.88656,7.93808,8.28272,6.12786,8.458730000000001,11.3544,12.8892,12.5563,12.038,17.5712,24.8974,30.7757,8.79854,8.840010000000001,9.09172
FBgn0037057,1.26298,2.3844,4.99113,48.8378,100.45200000000001,106.715,57.1415,20.7239,24.0922,51.6147,153.804,131.067,192.08,165.832,163.84099999999998,144.625,91.0506,38.5817,19.6084,40.1867,14.2236,16.3942,36.9736,26.7795,38.5594,38.6731,38.696,21.3863,13.3942,17.1175
FBgn0037061,26.9737,12.9082,32.3658,32.5712,37.3652,32.154,42.4154,14.479000000000001,13.2774,7.894139999999999,16.0032,18.4025,40.3025,31.2758,17.1546,10.7513,11.8913,16.46,12.6487,14.9073,14.1408,15.3675,11.8346,6.59968,8.88443,9.91277,10.2729,17.585,33.0631,32.5848
FBgn0028427,54.8469,34.9131,29.8241,37.7379,57.1019,93.3145,92.4925,84.2261,103.615,117.17399999999999,123.89299999999999,138.02100000000002,60.1654,50.6564,50.2994,47.3274,46.4731,59.5677,46.129,37.0827,29.0788,38.0331,74.5606,52.4511,39.6339,39.0664,46.3879,38.9509,42.9482,44.4528
FBgn0027945,40.9508,16.3218,53.172,77.5809,61.9245,83.8448,98.9883,56.6119,57.6984,58.7623,48.871,62.351000000000006,152.227,134.158,208.829,113.993,102.286,116.588,130.374,65.3822,79.8111,80.4429,71.9361,56.6898,102.86200000000001,107.663,104.99600000000001,42.9919,56.3765,68.4945
FBgn0086913,0.014512700000000002,0.199276,0.0723206,0.179357,0.345447,1.4032799999999999,3.50518,12.4179,14.5107,15.4321,13.06,13.1453,16.0804,3.6996300000000004,1.29879,0.947759,1.9295,1.814,1.68432,1.7890599999999999,3.26403,6.769010000000001,7.1921800000000005,7.252269999999999,4.43584,6.18138,9.7904,2.6355299999999997,0.7762859999999999,0.67978
FBgn0037073,65.2839,74.0053,70.9994,71.8263,74.4087,53.0286,63.79,48.1083,38.9325,30.5452,74.225,70.8894,78.8568,38.747,27.0969,10.8868,14.1563,16.1818,15.0676,12.0669,14.1634,16.2262,11.8629,12.3927,10.6373,11.7664,15.5891,47.6374,62.793,59.596000000000004
FBgn0037074,51.6375,44.0813,30.861,33.6648,41.6644,30.9295,43.115,33.4598,34.3194,26.6951,31.546999999999997,37.2415,15.487,12.0213,13.0285,21.1191,28.6048,41.4637,47.8356,54.9019,42.7572,30.1239,25.3386,17.6103,27.7999,28.0203,32.8977,32.2176,42.2907,40.6701
FBgn0037081,41.3757,23.0755,39.3177,29.5286,25.0831,17.2663,19.1617,9.22754,9.35693,6.981610000000001,5.50395,6.84651,9.539810000000001,12.5634,10.3679,11.4091,14.9829,19.0358,17.2812,16.5482,22.8812,16.0807,12.4493,6.666939999999999,11.2973,14.1912,13.0511,15.5182,34.7952,33.775999999999996
FBgn0002842,0.023704,0.0,0.0,0.0195263,0.047836000000000004,0.0,0.0,0.08069370000000001,0.0942837,0.239684,0.028234699999999998,0.185621,0.21668800000000002,0.0841957,0.888581,5.15906,6.67518,7.37488,8.258239999999999,10.4331,13.7817,11.7554,8.546510000000001,7.50559,13.6302,24.4538,22.1265,0.09921010000000001,0.0757776,0.0537081
FBgn0086377,68.2101,49.2729,37.3088,41.5073,41.1653,35.1426,29.498,23.8121,30.2404,28.5529,40.1041,33.0986,18.2363,18.172,19.9568,41.2905,66.3418,95.2794,81.0651,69.994,54.7285,47.2454,38.1058,37.693000000000005,45.6046,54.5011,51.676,34.9347,49.8695,52.9216
FBgn0037087,69.4181,67.9115,38.0814,45.6511,63.2821,72.1236,56.1967,41.6931,30.7784,19.7496,37.6933,35.6616,62.5977,32.4048,24.6863,20.980999999999998,25.8583,37.7329,32.1251,28.1294,34.3553,31.0582,17.3945,13.9705,12.225,16.2527,16.6665,40.3225,53.5022,55.3726
