gene_id	Embryo0-2h	Embryo2-4h	Embryo4-6h	Embryo6-8h	Embryo8-10h	Embryo10-12h	Embryo12-14h	Embryo14-16h	Embryo16-18h	Embryo18-20h	Embryo20-22h	Embryo22-24h	L1	L2	L3+12h	L3PS1-2	L3PS3-6	L3PS7-9	Prepupae	Prepupae+12h	Prepupae+24h	Prepupae+2d	Prepupae+3d	Prepupae+4d	Male+1d	Male+5d	Male+30d	Female+1d	Female+5d	Female+30d
FBgn0001085	28.4454	31.2501	27.3613	30.506	41.846	22.4701	33.3414	14.6152	15.6693	9.86045	11.8206	15.1829	3.95497	2.67094	1.33401	2.40095	5.85725	9.45785	11.4014	12.9946	17.8954	14.7354	5.69368	1.97211	1.44294	1.16889	1.08176	5.67362	17.3687	16.2928
FBgn0036419	0.276591	0.341967	0.939144	1.79486	2.63465	1.10701	1.6936	20.6329	39.1559	27.9478	35.9023	31.4762	28.1955	30.2234	56.9037	86.3552	103.811	81.0146	285.609	184.331	29.7442	17.1853	11.6672	28.328	63.6944	184.307	238.912	91.4924	44.2984	57.9116
FBgn0036421	0	0.0386012	0.0574251	0.234927	0.435723	0.364214	0.501567	0.124138	0.0288801	0.0601991	0.083796	0.024762	0.0275819	0	0	4.11273	10.3701	14.1194	10.7174	18.0029	26.5367	24.3217	19.805	15.3892	23.9571	38.4802	39.0544	0.0252535	0	0
FBgn0262580	0	0	0	0	0.0534964	0.0821209	0.0867261	0	0	0.0149458	0	0.0255962	0	0	0	0.0473046	0.020707	0	0.0517577	0	0.0309905	0.229208	0.401051	0.262669	1.4679	1.07003	0.540658	0.479369	0.755768	0.798053
FBgn0036422	0.25061	1.03805	0.699279	0.606922	0.604436	0.568954	0.473616	1.58773	9.96063	33.7451	112.162	123.15	166.726	396.574	210.713	817.332	442.464	273.266	128.556	5.79982	3.17098	10.9609	19.0699	13.2159	99.2817	156.257	104.085	142.065	102.955	101.472
FBgn0003459	38.4512	38.4231	22.9023	26.1395	21.1141	9.72387	11.3807	6.72897	5.42844	3.70192	5.23591	4.83414	2.49257	2.16504	2.0917	3.17015	5.01553	6.07529	6.91656	7.38921	8.70652	6.46313	3.78033	3.21532	4.15266	5.95222	5.84226	8.11209	16.8881	16.6749
FBgn0036423	10.9068	9.21955	6.91976	5.56217	5.54116	4.50368	4.66244	3.57734	3.15927	1.44823	2.87383	2.68939	1.01418	1.09643	0.838006	3.51317	6.9544	8.41416	7.59979	10.487	13.4668	11.503	7.71484	5.51528	10.2613	17.2008	17.4223	2.61634	5.94536	6.12123
FBgn0087007	6.4479	13.4321	27.578	14.5417	16.0696	21.3742	43.2858	45.2502	23.5138	27.9323	23.0643	27.2144	18.9945	25.2848	18.6724	21.5055	25.7211	44.718	72.0041	50.433	62.7695	118.432	29.9457	13.7095	20.162	18.0293	17.168	18.6921	16.7565	14.6027
FBgn0036426	0	0	0	0	0	0	0.145586	0.0423523	0	0.0402201	0.110286	0	0	0	0	1.15329	3.6384	4.36158	3.84188	5.44855	8.58273	12.3025	10.6419	6.84258	13.2609	16.7928	16.6915	0	0	0
FBgn0036427	0.0181422	0.0399577	0.019677	0.0301063	0.110164	0.394649	1.21624	1.84742	0.360467	0.107687	0.0657021	0.0131577	1.61738	76.8881	12.2053	0	0.0213157	0.288108	0.412773	0.589297	0.207114	0.632989	0.212239	0.0300537	0.0431619	0.0905915	0.0154676	0.0253181	0.0388974	0.0205489
FBgn0262891	0	0	0	0	0	0	0.0287628	0	0	0	0	0	0	0	0	0.442967	1.49275	3.08165	2.44033	4.69698	5.30975	8.68899	6.95033	3.25866	6.77157	8.04313	5.49214	0	0	0
FBgn0026409	506.848	566.889	549.297	480.738	549.654	623.144	542.63	792.437	800.873	954.505	1156.82	1151.44	1799.91	1368.68	1086.52	489.903	292.158	250.285	236.653	223.247	203.108	207.377	299.507	605.27	807.571	747.069	787.178	971.218	578.295	558.294
FBgn0036428	100.439	101.199	72.1102	61.0774	94.7035	74.9026	93.9	62.1636	62.4207	46.0041	50.1032	56.6552	7.89748	10.0873	8.52485	20.6205	21.014	15.9889	28.7618	47.0737	33.529	41.0994	16.1421	31.346	52.8271	47.0735	45.1226	42.1699	70.7949	64.2111
FBgn0054039	7.34751	4.36492	11.8416	11.2193	10.1891	7.54455	10.8235	3.74727	5.01765	4.68842	3.95233	5.25552	5.47908	8.6092	6.88585	11.4749	13.7241	20.1101	16.4009	17.6767	19.979	16.0237	11.5431	4.46475	10.1383	16.2227	10.4679	6.04079	18.4736	16.0585
FBgn0028418	0.220708	1.57683	3.82879	4.18012	3.87711	6.33702	2.50107	4.40496	6.30751	8.87066	12.1821	10.2715	15.9248	6.99942	4.18157	6.7113	6.57302	8.50105	7.58278	7.53531	5.36302	4.90772	5.38525	8.8436	11.4652	15.9659	28.8857	7.90483	3.49809	5.95541
FBgn0261816	0	0	0	0	0	0	0.0260369	0.0375227	0	0	0	0	0	0	0.226445	5.66386	10.1999	13.5007	11.1897	18.6194	23.713	33.7612	34.0286	32.4974	53.8664	74.5835	82.9009	0.0304018	0	0
FBgn0040318	0.388542	6.63496	11.5094	14.1129	12.3229	14.2376	10.6934	8.39373	6.86034	6.70475	4.68655	4.67963	3.78615	1.41967	0.740268	0.36997	0.950329	1.59333	1.54944	2.26966	2.77777	2.44379	1.76189	1.62356	1.98491	2.31829	2.72492	0.311939	0.0645848	0.0585822
FBgn0003388	0.0131149	0.261518	0.440293	2.29416	6.36081	5.38765	2.50643	0.140494	0.258674	0.856748	1.69678	2.89051	2.99516	1.36777	5.58514	34.704	47.9421	57.2488	17.1873	1.95385	2.28622	3.17806	1.55739	3.97333	2.30318	2.61585	2.66298	0.94865	1.08431	0.962318
FBgn0036433	1.59256	2.58878	4.18656	28.959	83.1159	204.781	269.962	304.776	215.486	141.516	62.4056	78.2693	34.205	29.147	12.8838	9.90683	18.5066	43.2887	38.9985	14.7483	94.5647	144.166	150.792	32.9217	79.0306	82.4413	84.225	45.4016	23.4413	18.709
FBgn0027375	18.3358	6.32476	17.9892	10.9042	8.5822	3.28751	5.68696	2.22282	3.28791	2.89087	4.66229	7.49872	2.77349	3.62283	2.78404	3.00138	4.80477	6.32469	4.52059	4.77293	4.9666	3.56507	2.51365	0.854058	3.72133	3.71762	2.60676	3.92449	15.0927	12.438
FBgn0041604	49.914	56.3398	64.204	79.7011	70.7902	52.7572	72.1884	61.1372	40.929	22.3324	29.7335	31.2811	11.407	8.70081	8.90976	9.22616	17.5934	25.6557	35.2621	30.5793	47.1473	26.5792	10.2093	5.73114	6.37704	6.92476	6.68402	17.5613	29.9431	29.0721
FBgn0262581	0	0	0.0356282	0.0549192	0.0696135	0.0542286	0.163667	0	0	0	0	0	0	0	0.5535	5.70378	11.5322	18.7275	14.7231	26.4238	32.2684	47.7918	43.8034	16.1176	51.1398	57.3811	35.1127	0	0	0.0802661
FBgn0259175	0.148849	0.0804886	0.108466	0.544222	1.22756	5.45204	12.2472	29.5664	35.8629	16.2779	14.5305	15.9075	12.0135	27.7693	15.9224	13.2118	11.9451	12.1545	11.8175	10.9924	6.89211	25.9748	30.7545	9.46086	12.0018	11.4692	11.2666	10.1	5.46857	6.46664
FBgn0011927	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0011928	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0036436	0.22049	0.317265	0.318914	3.94383	8.80588	35.2427	49.9596	26.0361	11.504	2.69941	0.396386	0.746747	2.9556	16.6103	2.49298	7.04857	16.4813	53.3139	95.4464	15.8503	17.8043	75.128	2.33014	1.10844	0.82913	0.636092	0.652496	0.35305	0.167786	0.161566
FBgn0036437	0.0232926	0	0.0250751	0.134384	0.329113	3.8675	4.34254	2.69539	3.70564	3.10251	1.74963	1.62723	0.603305	0.289726	0.120426	9.24058	18.1067	27.8556	23.0047	41.6738	64.2605	78.2919	73.6851	46.3188	89.0269	118.99	108.714	0.146235	0.0496636	0.10555
FBgn0036438	0	0	0	0	0	0	0	0.053919	0	0.0501364	0	0.0392096	0.0472137	0	0.161676	6.96665	14.8188	26.596	18.535	34.4301	49.2539	68.65	64.7683	36.2801	86.5887	135.97	77.7265	0	0	0
FBgn0036439	0	0	0	0	0	0	0.0311932	0	0	0	0	0	0.040194	0	0	0.824474	1.56026	2.51952	1.54114	3.09763	4.33765	2.90583	2.65889	1.8166	2.39216	5.2743	4.36551	0	0	0
FBgn0036440	0	0	0	0	0.00503756	0	0	0.00416524	0	0	0	0.0112548	0	0	0	0	0.158861	0.203062	0.292879	0.409466	0.63929	1.03155	1.07116	0.32073	1.8225	1.49675	0.678616	0	0	0.00559525
FBgn0036441	0	0	0	0	0.0513647	0	0	0.0446258	0	0	0	0	0.0393116	0.0229579	0	3.43922	8.10679	14.3939	12.1541	23.3866	30.1321	41.5929	38.8237	14.4532	37.6491	48.9996	29.0773	0	0	0
FBgn0036442	0.0489739	0	0	0.0390647	0.0487565	0	0.20332	0.802542	0.665165	0.320967	0.220061	0.193025	0.335401	0.505194	0.445279	1.78953	5.91866	8.83777	6.94664	15.2659	20.0208	31.5195	39.1383	40.5889	64.1371	71.879	89.6239	0.204699	0.101617	0.055534
FBgn0036443	0	0	0	0	0.0519796	0.0199945	0.235728	0.681048	0.492486	0.151739	0.0916881	0.255235	0.11785	0.274028	0.466833	4.39873	9.50181	12.5768	10.4487	17.9324	24.4838	29.3276	29.399	23.6039	36.158	51.4661	52.4458	0.0719414	0	0.0292149
FBgn0013263	93.9415	165.869	141.721	230.209	190.105	225.296	203.696	160.29	107.485	93.1015	80.535	62.0996	44.8966	52.2133	37.4939	39.4837	63.1698	60.2236	63.1301	63.3712	95.4207	64.2672	52.9431	43.0796	42.5553	47.2832	60.7666	67.0561	57.0891	63.201
FBgn0053260	2.15938	1.13069	0.828254	1.19474	1.50615	0.955244	1.10212	0.249219	0.550245	0.231007	0.214144	0.559279	0.929898	1.42361	1.20196	2.44719	3.61972	4.72731	4.99182	7.30739	7.62009	3.37366	1.67571	1.57662	2.84322	2.6304	1.85282	1.24642	2.26786	2.07893
FBgn0036446	24.0921	6.60728	7.28463	8.00865	8.29781	6.90912	9.80948	6.77872	7.9531	5.955	7.21247	9.01152	6.01897	4.55142	3.47115	3.30731	6.70587	8.83104	10.0569	12.8002	11.8815	11.1448	7.62547	5.20586	7.29076	6.9914	6.55107	9.97102	15.8469	14.2454
FBgn0036447	0	0.0453401	0.0222872	0.0113588	0.0276126	0.0317542	0.0420788	0.0576045	0.0324222	0.0463982	0.049831	0.0701625	0.0311146	0.0163279	0.0175576	0.605248	0.658517	1.01687	1.03644	1.98917	2.38937	1.92611	1.60439	1.24181	1.97731	3.36022	3.30708	0.237452	0.117285	0.123292
FBgn0036448	40.3038	36.2316	12.2535	13.0389	18.0909	12.575	19.1105	16.1178	14.491	11.2627	18.2826	17.3452	7.29612	8.52165	8.53	14.8189	38.719	71.9815	73.6252	42.2568	33.0102	21.0891	12.095	10.6582	14.6215	16.5989	18.7201	20.7923	34.55	33.5108
FBgn0036449	44.4417	61.55	30.4938	37.0516	39.4725	29.8048	36.4934	20.4564	21.454	31.2298	41.0954	55.7357	27.3919	11.5711	12.7011	31.8189	32.9982	30.8648	36.3705	18.955	16.7572	25.7845	13.1057	26.9094	49.3901	31.3076	33.1635	43.5311	44.545	40.9004
FBgn0036450	51.9197	37.4001	44.0705	25.776	19.3211	17.0654	14.9589	11.976	8.91941	6.67636	6.36627	6.07422	14.3604	10.3989	9.22278	10.0422	13.256	14.4012	14.382	16.0503	23.088	16.0082	7.51011	7.94421	8.64535	9.95376	12.685	19.2496	29.7113	31.4005
FBgn0036451	53.5291	68.3168	29.7426	34.4076	34.0327	23.3505	27.3118	32.2123	24.6657	18.3807	23.4658	20.3213	15.3848	10.4912	10.4789	8.72968	21.2962	23.3312	24.7678	16.8366	23.2291	17.1799	13.2669	10.8698	14.6018	15.6632	17.6787	23.5699	28.7309	31.6456
FBgn0029148	100.76	134.862	234.292	303.096	336.662	327.108	233.699	190.393	129.313	78.9825	164.952	134.613	393.172	148.108	90.9686	42.9829	48.2109	57.7594	44.1045	46.1929	38.7554	41.7619	22.0933	41.6678	16.414	19.0235	26.735	150.563	136.755	144.857
FBgn0001120	264.609	28.9285	7.41802	5.10279	4.52537	2.06477	1.65418	1.09014	0.602563	1.00925	0.525661	1.25388	0.238643	0.323561	0.101293	0.173923	0.121742	0.0731852	0.189158	0.235659	0.0894036	0.281284	0.318099	1.38031	0.184193	0.304758	0.623151	51.3156	161.476	166.687
